,id,SenseName,Condition1,Condition2,Path1,Path2,selection
0,20,DarkOnePiece,c1,c2,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DarkOnePiece/c1.JPG,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DarkOnePiece/c2.JPG,",cyj,111"
1,21,DarkOnePiece,c1,c3,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DarkOnePiece/c1.JPG,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DarkOnePiece/c3.JPG,",cyj,111"
2,22,DarkOnePiece,c1,c4,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DarkOnePiece/c1.JPG,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DarkOnePiece/c4.JPG,",cyj,111"
3,23,DarkOnePiece,c1,c5,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DarkOnePiece/c1.JPG,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DarkOnePiece/c5.JPG,",cyj"
4,24,DarkOnePiece,c2,c3,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DarkOnePiece/c2.JPG,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DarkOnePiece/c3.JPG,",cyj,wyx"
5,25,DarkOnePiece,c2,c4,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DarkOnePiece/c2.JPG,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DarkOnePiece/c4.JPG,",cyj"
6,26,DarkOnePiece,c2,c5,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DarkOnePiece/c2.JPG,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DarkOnePiece/c5.JPG,",cyj"
7,27,DarkOnePiece,c3,c4,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DarkOnePiece/c3.JPG,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DarkOnePiece/c4.JPG,",cyj,wyx"
8,28,DarkOnePiece,c3,c5,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DarkOnePiece/c3.JPG,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DarkOnePiece/c5.JPG,",cyj,wyx"
9,29,DarkOnePiece,c4,c5,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DarkOnePiece/c4.JPG,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DarkOnePiece/c5.JPG,",cyj,wyx"
10,30,DayTable,c1,c2,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DayTable/c1.JPG,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DayTable/c2.JPG,",cyj,wyx"
11,31,DayTable,c1,c3,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DayTable/c1.JPG,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DayTable/c3.JPG,",cyj,wyx"
12,32,DayTable,c1,c4,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DayTable/c1.JPG,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DayTable/c4.JPG,",cyj,wyx"
13,33,DayTable,c1,c5,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DayTable/c1.JPG,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DayTable/c5.JPG,",cyj,wyx"
14,34,DayTable,c2,c3,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DayTable/c2.JPG,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DayTable/c3.JPG,",cyj,wyx"
15,35,DayTable,c2,c4,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DayTable/c2.JPG,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DayTable/c4.JPG,",cyj,wyx"
16,36,DayTable,c2,c5,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DayTable/c2.JPG,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DayTable/c5.JPG,",cyj,wyx"
17,37,DayTable,c3,c4,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DayTable/c3.JPG,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DayTable/c4.JPG,",cyj"
18,38,DayTable,c3,c5,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DayTable/c3.JPG,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DayTable/c5.JPG,",cyj"
19,39,DayTable,c4,c5,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DayTable/c4.JPG,C:\Users\Administrator\Desktop\GitTest\code\PyGUI\Senses/DayTable/c5.JPG,",cyj"
