observer,session_id,scene,condition_1,condition_2,selection,criterion
cyj,0,DarkOnePiece,c1,c2,0,perceptual
cyj,0,DarkOnePiece,c1,c3,0,perceptual
cyj,0,DarkOnePiece,c1,c4,0,perceptual
cyj,0,DarkOnePiece,c1,c5,0,perceptual
cyj,0,DarkOnePiece,c2,c3,0,perceptual
cyj,0,DarkOnePiece,c2,c4,0,perceptual
cyj,0,DarkOnePiece,c2,c5,0,perceptual
cyj,0,DarkOnePiece,c3,c4,0,perceptual
cyj,0,DarkOnePiece,c3,c5,0,perceptual
cyj,0,DarkOnePiece,c4,c5,1,perceptual
cyj,1,DayTable,c1,c2,0,perceptual
cyj,1,DayTable,c1,c3,0,perceptual
cyj,1,DayTable,c1,c4,0,perceptual
cyj,1,DayTable,c1,c5,0,perceptual
cyj,1,DayTable,c2,c3,0,perceptual
cyj,1,DayTable,c2,c4,0,perceptual
cyj,1,DayTable,c2,c5,0,perceptual
cyj,1,DayTable,c3,c4,1,perceptual
cyj,1,DayTable,c3,c5,0,perceptual
cyj,1,DayTable,c4,c5,0,perceptual
wyx,0,DarkOnePiece,c1,c2,0,perceptual
wyx,0,DarkOnePiece,c1,c3,0,perceptual
wyx,0,DarkOnePiece,c1,c4,0,perceptual
wyx,0,DarkOnePiece,c1,c5,0,perceptual
wyx,0,DarkOnePiece,c2,c3,0,perceptual
wyx,0,DarkOnePiece,c2,c4,0,perceptual
wyx,0,DarkOnePiece,c2,c5,1,perceptual
wyx,0,DarkOnePiece,c3,c4,0,perceptual
wyx,0,DarkOnePiece,c3,c5,0,perceptual
wyx,0,DarkOnePiece,c4,c5,0,perceptual
wyx,1,DayTable,c1,c2,0,perceptual
wyx,1,DayTable,c1,c3,0,perceptual
wyx,1,DayTable,c1,c4,0,perceptual
wyx,1,DayTable,c1,c5,0,perceptual
wyx,1,DayTable,c2,c3,0,perceptual
wyx,1,DayTable,c2,c4,0,perceptual
wyx,1,DayTable,c2,c5,0,perceptual
wyx,1,DayTable,c3,c4,1,perceptual
wyx,1,DayTable,c3,c5,0,perceptual
wyx,1,DayTable,c4,c5,0,perceptual
wyj,0,DarkOnePiece,c1,c2,0,perceptual
wyj,0,DarkOnePiece,c1,c3,0,perceptual
wyj,0,DarkOnePiece,c1,c4,0,perceptual
wyj,0,DarkOnePiece,c1,c5,0,perceptual
wyj,0,DarkOnePiece,c2,c3,0,perceptual
wyj,0,DarkOnePiece,c2,c4,0,perceptual
wyj,0,DarkOnePiece,c2,c5,0,perceptual
wyj,0,DarkOnePiece,c3,c4,0,perceptual
wyj,0,DarkOnePiece,c3,c5,0,perceptual
wyj,0,DarkOnePiece,c4,c5,0,perceptual
wyj,1,DayTable,c1,c2,0,perceptual
wyj,1,DayTable,c1,c3,0,perceptual
wyj,1,DayTable,c1,c4,1,perceptual
wyj,1,DayTable,c1,c5,0,perceptual
wyj,1,DayTable,c2,c3,0,perceptual
wyj,1,DayTable,c2,c4,0,perceptual
wyj,1,DayTable,c2,c5,0,perceptual
wyj,1,DayTable,c3,c4,0,perceptual
wyj,1,DayTable,c3,c5,0,perceptual
wyj,1,DayTable,c4,c5,0,perceptual
sxq,0,DarkOnePiece,c1,c2,0,perceptual
sxq,0,DarkOnePiece,c1,c3,0,perceptual
sxq,0,DarkOnePiece,c1,c4,0,perceptual
sxq,0,DarkOnePiece,c1,c5,0,perceptual
sxq,0,DarkOnePiece,c2,c3,0,perceptual
sxq,0,DarkOnePiece,c2,c4,0,perceptual
sxq,0,DarkOnePiece,c3,c4,0,perceptual
sxq,0,DarkOnePiece,c3,c5,0,perceptual
sxq,0,DarkOnePiece,c4,c5,0,perceptual
sxq,1,DayTable,c1,c2,0,perceptual
sxq,1,DayTable,c1,c3,0,perceptual
sxq,1,DayTable,c1,c4,0,perceptual
sxq,1,DayTable,c1,c5,0,perceptual
sxq,1,DayTable,c2,c3,0,perceptual
sxq,1,DayTable,c2,c4,0,perceptual
sxq,1,DayTable,c2,c5,0,perceptual
sxq,1,DayTable,c3,c4,0,perceptual
sxq,1,DayTable,c3,c5,0,perceptual
sxq,1,DayTable,c4,c5,0,perceptual
wzx,0,DarkOnePiece,c1,c2,0,perceptual
wzx,0,DarkOnePiece,c1,c3,0,perceptual
wzx,0,DarkOnePiece,c1,c4,0,perceptual
wzx,0,DarkOnePiece,c1,c5,0,perceptual
sxq,0,DarkOnePiece,c2,c5,0,perceptual
